Orderable Part Number,Status,Material Type,Package | Pins,Package Qty | Carrier,RoHS,Lead Finish / Ball Material,MSL Rating / Peak Reflow,Op Temp (C),Part Marking
AM62L31BEGHAANBR,Active,Production,FCCSP (ANB) | 373,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 125,31BEGHA 412
AM62L31BOGHAANBR,Active,Production,FCCSP (ANB) | 373,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 125,31BOGHA 412
AM62L32BEGHAANBR,Active,Production,FCCSP (ANB) | 373,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 125,32BEGHA 412
AM62L32BOGHAANBR,Active,Production,FCCSP (ANB) | 373,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 125,32BOGHA 412
AM62L32BOGHIANBR,Active,Production,FCCSP (ANB) | 373,1000 | LARGE T&R,Yes,Call TI,Level-3-260C-168 HR,-40 to 125,32BOGHI 412
